epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.846,1.20586,2.00386,1.49063,0.59237,0.50479,0.55833,0.30142,1.49621,1.61134,1.88079,0.000277211,0.000277211,0.000277211
2,403.685,1.21813,1.44018,1.48881,0.65604,0.54368,0.61378,0.34234,1.50905,1.53578,1.90349,0.000543891,0.000543891,0.000543891
3,601.432,1.21774,1.37715,1.47832,0.64001,0.59347,0.6154,0.36258,1.38387,1.47273,1.80207,0.000799575,0.000799575,0.000799575
4,797.315,1.18701,1.28745,1.45953,0.73639,0.66177,0.72665,0.46742,1.28537,1.16885,1.69823,0.00078352,0.00078352,0.00078352
5,992.802,1.13262,1.16869,1.42235,0.79836,0.6991,0.79977,0.50561,1.29978,1.05228,1.70273,0.000767026,0.000767026,0.000767026
6,1187.85,1.10119,1.07422,1.38746,0.85048,0.68792,0.80032,0.53269,1.26715,0.98694,1.66182,0.000750533,0.000750533,0.000750533
7,1383.08,1.05914,0.99253,1.36098,0.82789,0.75149,0.83245,0.54758,1.23075,0.90704,1.62931,0.00073404,0.00073404,0.00073404
8,1577.82,1.03872,0.94228,1.34683,0.86488,0.72802,0.82987,0.55141,1.21485,0.83368,1.61413,0.000717546,0.000717546,0.000717546
9,1771.54,1.00493,0.88081,1.32279,0.85017,0.76016,0.84795,0.57216,1.23333,0.8299,1.62655,0.000701053,0.000701053,0.000701053
10,1966.96,0.98792,0.85162,1.30809,0.87861,0.78697,0.86396,0.59001,1.2233,0.78229,1.61949,0.000684559,0.000684559,0.000684559
11,2163.04,0.97307,0.82802,1.29548,0.85833,0.78962,0.86764,0.59624,1.1601,0.77635,1.57137,0.000668066,0.000668066,0.000668066
12,2358.89,0.9515,0.79719,1.28556,0.90225,0.77583,0.87058,0.60102,1.17068,0.73399,1.58955,0.000651573,0.000651573,0.000651573
13,2553.01,0.93293,0.76309,1.27257,0.89499,0.77153,0.87422,0.60128,1.17972,0.74413,1.57405,0.000635079,0.000635079,0.000635079
14,2747.42,0.91487,0.73981,1.26061,0.89109,0.79047,0.87224,0.6034,1.19337,0.73604,1.59961,0.000618586,0.000618586,0.000618586
15,2942.29,0.90157,0.71153,1.24955,0.89827,0.77895,0.87031,0.60147,1.19131,0.73731,1.63023,0.000602092,0.000602092,0.000602092
16,3137.23,0.88613,0.70005,1.24281,0.88098,0.80076,0.87556,0.60879,1.17032,0.73387,1.57902,0.000585599,0.000585599,0.000585599
17,3331.37,0.86611,0.67297,1.22731,0.88844,0.81512,0.88296,0.61467,1.13903,0.70557,1.55228,0.000569106,0.000569106,0.000569106
18,3526.4,0.85938,0.65467,1.21916,0.87222,0.81045,0.87241,0.61661,1.13971,0.73378,1.55797,0.000552612,0.000552612,0.000552612
19,3720.99,0.844,0.63937,1.20574,0.85293,0.7848,0.86685,0.61097,1.13098,0.74267,1.55621,0.000536119,0.000536119,0.000536119
20,3915.23,0.81524,0.61717,1.19282,0.8836,0.79687,0.88738,0.63333,1.13076,0.71868,1.54086,0.000519625,0.000519625,0.000519625
21,4108.55,0.8081,0.5988,1.19053,0.87511,0.81492,0.8857,0.63028,1.14653,0.69826,1.57187,0.000503132,0.000503132,0.000503132
22,4301.46,0.79658,0.59105,1.18002,0.91483,0.80883,0.8847,0.62516,1.14713,0.6963,1.58102,0.000486639,0.000486639,0.000486639
23,4495.09,0.79248,0.58383,1.17729,0.909,0.78183,0.88196,0.63145,1.12404,0.69026,1.55048,0.000470145,0.000470145,0.000470145
24,4689.53,0.77553,0.56666,1.16421,0.91071,0.78023,0.88016,0.63147,1.11336,0.71383,1.55591,0.000453652,0.000453652,0.000453652
25,4884.08,0.77211,0.55883,1.16321,0.88122,0.8337,0.88324,0.62753,1.11666,0.69871,1.57679,0.000437158,0.000437158,0.000437158
26,5077.78,0.74276,0.53734,1.14643,0.89397,0.82693,0.88801,0.63845,1.10695,0.67042,1.55636,0.000420665,0.000420665,0.000420665
27,5269.64,0.73358,0.52854,1.14397,0.92545,0.79906,0.89188,0.63789,1.10594,0.66154,1.55614,0.000404172,0.000404172,0.000404172
28,5462.46,0.7331,0.5256,1.13764,0.87807,0.81065,0.87775,0.63631,1.10821,0.71671,1.56815,0.000387678,0.000387678,0.000387678
29,5655.96,0.71917,0.51467,1.13077,0.91156,0.80835,0.88876,0.63992,1.11627,0.67718,1.58874,0.000371185,0.000371185,0.000371185
30,5850.68,0.70403,0.50042,1.12506,0.90744,0.80851,0.88816,0.63768,1.11543,0.70895,1.56724,0.000354691,0.000354691,0.000354691
31,6046.25,0.69849,0.48952,1.11706,0.9235,0.81283,0.8978,0.64762,1.09176,0.65456,1.558,0.000338198,0.000338198,0.000338198
32,6240.3,0.68556,0.48393,1.11028,0.92571,0.81816,0.89035,0.64662,1.09829,0.67853,1.56705,0.000321705,0.000321705,0.000321705
33,6435.32,0.68442,0.4758,1.11144,0.92899,0.78112,0.8928,0.64147,1.11092,0.69555,1.58517,0.000305211,0.000305211,0.000305211
34,6632.67,0.66875,0.46456,1.09943,0.90277,0.81666,0.89621,0.6499,1.10357,0.66746,1.58957,0.000288718,0.000288718,0.000288718
35,6826.94,0.65563,0.4557,1.09511,0.91035,0.80773,0.89464,0.65001,1.0961,0.66949,1.56934,0.000272224,0.000272224,0.000272224
36,7021.4,0.65307,0.45163,1.09102,0.90131,0.8243,0.89059,0.65061,1.0998,0.6449,1.58636,0.000255731,0.000255731,0.000255731
37,7215.96,0.64794,0.44692,1.08855,0.88984,0.83224,0.90159,0.66256,1.07691,0.64142,1.56891,0.000239238,0.000239238,0.000239238
38,7410.55,0.6328,0.43649,1.0808,0.92077,0.8184,0.89924,0.65913,1.08576,0.64758,1.5712,0.000222744,0.000222744,0.000222744
39,7604.85,0.62356,0.42989,1.07392,0.92242,0.81724,0.89782,0.65797,1.08289,0.64455,1.58024,0.000206251,0.000206251,0.000206251
40,7799.07,0.61612,0.42076,1.06614,0.9002,0.81404,0.89491,0.65818,1.07173,0.64613,1.5812,0.000189757,0.000189757,0.000189757
41,7990.43,0.54659,0.321,1.03919,0.9305,0.79856,0.88973,0.65247,1.07727,0.65507,1.60105,0.000173264,0.000173264,0.000173264
42,8177.96,0.52423,0.29985,1.02053,0.90348,0.81376,0.8953,0.65713,1.07763,0.66566,1.60374,0.000156771,0.000156771,0.000156771
43,8365.52,0.50977,0.28881,1.01287,0.89852,0.83051,0.89366,0.66067,1.07734,0.66051,1.60859,0.000140277,0.000140277,0.000140277
44,8552.7,0.49523,0.2838,1.00336,0.92335,0.80761,0.89707,0.66385,1.07327,0.64513,1.62748,0.000123784,0.000123784,0.000123784
45,8739.29,0.48098,0.27177,0.99287,0.91824,0.80385,0.89394,0.66277,1.07588,0.65561,1.63921,0.00010729,0.00010729,0.00010729
46,8929.11,0.4683,0.26843,0.98489,0.92293,0.80683,0.89521,0.66425,1.07939,0.66273,1.65015,9.0797e-05,9.0797e-05,9.0797e-05
47,9118.72,0.45865,0.2611,0.97907,0.88921,0.83269,0.89699,0.66452,1.07663,0.66991,1.6519,7.43036e-05,7.43036e-05,7.43036e-05
48,9310.18,0.44536,0.25387,0.9714,0.87939,0.83873,0.90281,0.66426,1.07201,0.65749,1.65459,5.78102e-05,5.78102e-05,5.78102e-05
49,9500.4,0.43887,0.25027,0.96558,0.92562,0.80816,0.90036,0.66798,1.07,0.6782,1.65876,4.13168e-05,4.13168e-05,4.13168e-05
50,9693.19,0.43394,0.24797,0.96644,0.9249,0.80825,0.89937,0.667,1.07004,0.67328,1.66389,2.48234e-05,2.48234e-05,2.48234e-05
